"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp q-value"	"Sum PEP Score"	"Coverage"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Found in Sample in S42 F42 Sample F5_100K 3"	"Found in Sample in S41 F41 Sample F5_100K 3"	"Found in Sample in S40 F40 Sample F5_100K 3"	"Found in Sample in S39 F39 Sample F5_100K 2"	"Found in Sample in S38 F38 Sample F5_100K 2"	"Found in Sample in S37 F37 Sample F5_100K 2"	"Found in Sample in S36 F36 Sample F5_100K 1"	"Found in Sample in S35 F35 Sample F5_100K 1"	"Found in Sample in S34 F34 Sample F5_100K 1"	"Found in Sample in S33 F33 Sample F5_10K 3"	"Found in Sample in S32 F32 Sample F5_10K 3"	"Found in Sample in S31 F31 Sample F5_10K 3"	"Found in Sample in S30 F30 Sample F5_10K 2"	"Found in Sample in S29 F29 Sample F5_10K 2"	"Found in Sample in S28 F28 Sample F5_10K 2"	"Found in Sample in S27 F27 Sample F5_10K 1"	"Found in Sample in S26 F26 Sample F5_10K 1"	"Found in Sample in S25 F25 Sample F5_10K 1"	"Found in Sample in S24 F24 Sample F3_100K 3"	"Found in Sample in S22 F22 Sample F3_100K 3"	"Found in Sample in S23 F23 Sample F3_100K 2"	"Found in Sample in S21 F21 Sample F3_100K 2"	"Found in Sample in S20 F20 Sample F3_100K 2"	"Found in Sample in S19 F19 Sample F3_100K 2"	"Found in Sample in S18 F18 Sample F3_100K 1"	"Found in Sample in S17 F17 Sample F3_100K 1"	"Found in Sample in S16 F16 Sample F3_100K 1"	"Found in Sample in S15 F15 Sample F3_10K 3"	"Found in Sample in S14 F14 Sample F3_10K 3"	"Found in Sample in S13 F13 Sample F3_10K 3"	"Found in Sample in S12 F12 Sample F3_10K 2"	"Found in Sample in S11 F11 Sample F3_10K 2"	"Found in Sample in S10 F10 Sample F3_10K 2"	"Found in Sample in S9 F9 Sample F3_10K 1"	"Found in Sample in S8 F8 Sample F3_10K 1"	"Modifications"	"Area F5_100K 3"	"Area F5_100K 2"	"Area F5_100K 1"	"Area F5_10K 3"	"Area F5_10K 2"	"Area F5_10K 1"	"Area F3_100K 3"	"Area F3_100K 2"	"Area F3_100K 1"	"Area F3_10K 3"	"Area F3_10K 2"	"Area F3_10K 1"	"emPAI"	"Score Sequest HT"	"Number of Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	"0.000"	"2466.457"	"72.9591836734694"	"199"	"8220"	"165"	"1"	"1960"	"226.4"	"5.60"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"210800207.05447"	"159933957.99349"	"53739966.6354167"	"949583614.645833"	"1140888803.24653"	"292715239.139757"	"349427820.292969"	"851314573.473958"	"1036824923.125"	"1737258138.89931"	"1023569847.78299"	"1456489034.00521"	"3320.754"	"17792.75"	"199"
"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5"	"0.000"	"2074.253"	"60.4821351700387"	"247"	"3157"	"247"	"1"	"4646"	"532.1"	"6.40"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Low"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"30726866.7552083"	"20377264.8962674"	"7499803.12152778"	"181297324.180556"	"195348447.567708"	"45780119.7586806"	"100828833.286458"	"155633285.111003"	"135704672.070313"	"277925264.734375"	"131083937.586806"	"198818177.058594"	"24.746"	"5745.22"	"247"
"False"	"High"	"IsMasterProtein"	"Q15149"	"Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3"	"0.000"	"1980.637"	"60.1622544833476"	"277"	"4398"	"273"	"1"	"4684"	"531.5"	"5.96"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"79293904.8532986"	"22345005.0642361"	"7536841.15190972"	"176786511.013889"	"155133615.918403"	"47774315.9348958"	"129615348.989583"	"102348745.171875"	"189383187.895833"	"280628813.102431"	"134569037.887153"	"200562834.041667"	"15.455"	"7763.28"	"277"
"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	"0.000"	"1476.186"	"73.4416320362675"	"170"	"5694"	"157"	"1"	"2647"	"280.6"	"6.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"267238074.620226"	"186596067.235677"	"71916263.7575955"	"999519657.69184"	"1097699834.32292"	"290650475.53342"	"549049580.675781"	"928247329.242188"	"1038888710.42708"	"1538334405.31944"	"878672047.243056"	"779352335.783854"	"67.488"	"10901.07"	"170"
"False"	"High"	"IsMasterProtein"	"P46940"	"Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1"	"0.000"	"1463.081"	"72.6010863005431"	"134"	"4434"	"133"	"1"	"1657"	"189.1"	"6.48"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"145851510.225694"	"105949506.650608"	"37718450.7907986"	"685769079.493056"	"782457655.657986"	"155308367.036024"	"304981744.230469"	"1574845720.13672"	"1465678551.10417"	"1450577437.54167"	"713329188.632813"	"872950325.625"	"610.67"	"10082.47"	"134"
"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3"	"0.000"	"1374.485"	"64.8563557654467"	"131"	"3356"	"118"	"1"	"2541"	"269.6"	"6.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"45938390.7254774"	"33642134.9127604"	"11655640.7693142"	"196813280.467882"	"229606173.999132"	"46978490.2894965"	"552013214.005208"	"266636921.033854"	"341123050.807292"	"431846257.928819"	"249769437.319444"	"187494762.239583"	"35.772"	"7369.59"	"131"
"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2"	"0.000"	"1167.932"	"57.0797962648557"	"189"	"2686"	"189"	"1"	"5890"	"628.7"	"6.15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Acetyl [N-Term]"	"30880911.9036458"	"22096478.0616319"	"7538455.51519097"	"105724423.534722"	"116424950.850694"	"40169600.0110677"	"103227763.84375"	"154935094.786458"	"166897337.923611"	"180126730.041667"	"106072717.371528"	"210409818.083333"	"3.613"	"4628.12"	"189"
"False"	"High"	"IsMasterProtein"	"Q9NZM1"	"Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1"	"0.000"	"1156.880"	"71.3731198447356"	"137"	"3019"	"135"	"1"	"2061"	"234.6"	"6.18"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"35616408.8778212"	"36437255.1206597"	"11625812.7947049"	"189038269.932292"	"251760003.013889"	"26334608.734375"	"262289837.119792"	"386466035.5625"	"285539780.328125"	"431388975.086806"	"344368677.796875"	"155553146.708333"	"49.384"	"5487.14"	"137"
"False"	"High"	"IsMasterProtein"	"Q00610"	"Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5"	"0.000"	"1117.766"	"77.910447761194"	"112"	"2554"	"88"	"1"	"1675"	"191.5"	"5.69"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"86281613.9817708"	"64027503.5590278"	"22204937.1295573"	"417285674.413194"	"439791624.324653"	"82493201.8181424"	"113278443.330729"	"523931150.401042"	"461417919.833333"	"636520682.159722"	"386918668.236111"	"168672705"	"124.264"	"5304.33"	"112"
"False"	"High"	"IsMasterProtein"	"O75369"	"Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2"	"0.000"	"1047.441"	"65.6033820138355"	"132"	"2321"	"120"	"1"	"2602"	"278.0"	"5.73"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Not Found"	"High"	"High"	"Medium"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	"High"	"Low"	"High"	""	"22332952.5026042"	"17784533.8658854"	"3523067.52126736"	"89106680.390625"	"101525483.434028"	"22163018.3160807"	"137374013.354167"	"96228563.5208333"	"87280589.1102431"	"133261238.020833"	"117476036.647569"	"67303486.5729167"	"21.23"	"4075.22"	"132"
