Visible?,Starred?,Identified Proteins (2330),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,T-Test (p-value): (p < 0.05),Fold Change by Category,Quantitative Profile,Taxonomy,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area
TRUE,Empty,Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2,P10412,HIST1H1E,22 kDa,TRUE,0.0013,0.8,"1st high, 2nd low",unknown,2.06E+12,2.02E+12,1.93E+12,2.18E+12,1.93E+12,1.46E+12,1.84E+12,1.45E+12,1.37E+12,1.65E+12,1.16E+12,1.73E+12,1.18E+12,1.21E+12,1.03E+12
TRUE,Empty,Histone H1.2 OS=Homo sapiens OX=9606 GN=HIST1H1C PE=1 SV=2,P16403,HIST1H1C,21 kDa,TRUE,0.0013,0.8,"1st high, 2nd low",unknown,2.05E+12,2.01E+12,1.92E+12,2.17E+12,1.93E+12,1.46E+12,1.83E+12,1.44E+12,1.37E+12,1.65E+12,1.16E+12,1.73E+12,1.17E+12,1.20E+12,1.02E+12
TRUE,Empty,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,P08238,HSP90AB1,83 kDa,TRUE,0.00076,1.5,"1st low, 2nd high",unknown,6.73E+10,7.14E+10,8.79E+10,6.45E+10,8.76E+10,9.73E+10,1.18E+11,1.19E+11,1.05E+11,1.10E+11,8.68E+10,6.81E+10,7.95E+10,8.66E+10,9.42E+10
TRUE,Empty,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,P49327,FASN,273 kDa,,0.014,2,"1st low, 2nd high",unknown,1.81E+10,2.12E+10,2.30E+10,2.07E+10,3.94E+10,4.45E+10,3.26E+10,4.08E+10,7.11E+10,5.25E+10,4.04E+10,3.61E+10,5.18E+10,5.48E+10,4.45E+10
TRUE,Empty,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,P78527,PRKDC,469 kDa,,0.02,3.2,"1st low, 2nd high",unknown,4.47E+09,6.35E+09,5.82E+09,3.87E+09,1.37E+10,1.63E+10,1.16E+10,1.50E+10,3.73E+10,2.81E+10,1.92E+10,9.65E+09,2.63E+10,1.87E+10,1.63E+10
TRUE,Empty,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,P07437,TUBB,50 kDa,TRUE,0.0011,1.7,"1st low, 2nd high",unknown,3.45E+10,3.11E+10,3.28E+10,3.77E+10,5.26E+10,7.27E+10,5.14E+10,6.54E+10,7.32E+10,6.29E+10,7.33E+10,4.13E+10,7.91E+10,7.66E+10,7.87E+10
TRUE,Empty,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",P60709 (+1),ACTB,42 kDa,TRUE,0.00018,1.5,"1st low, 2nd high",unknown,1.13E+11,1.27E+11,1.12E+11,1.31E+11,1.53E+11,1.98E+11,1.96E+11,1.96E+11,1.87E+11,1.67E+11,1.32E+11,1.43E+11,1.61E+11,1.64E+11,1.99E+11
TRUE,Empty,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,Q09666,AHNAK,629 kDa,,0.0054,0.2,"1st high, 2nd low",unknown,3.19E+10,2.80E+10,2.13E+10,9.37E+09,1.47E+10,3.52E+09,2.72E+09,4.03E+09,8.37E+09,6.04E+09,1.16E+10,1.79E+10,1.13E+10,7.00E+09,7.17E+09
TRUE,Empty,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,P68363,TUBA1B,50 kDa,TRUE,0.085,1.2,[],unknown,5.49E+10,6.30E+10,6.87E+10,5.28E+10,8.18E+10,8.74E+10,5.98E+10,8.44E+10,8.95E+10,7.47E+10,1.02E+11,7.33E+10,9.53E+10,8.59E+10,8.51E+10
TRUE,Empty,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",P31327,CPS1,165 kDa,TRUE,0.4,1.1,[],unknown,2.11E+10,2.37E+10,2.63E+10,2.15E+10,3.00E+10,2.58E+10,1.85E+10,2.97E+10,3.78E+10,2.66E+10,4.66E+10,3.30E+10,4.62E+10,5.13E+10,5.72E+10
