Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2 - [AHNK_HUMAN],77.37,2,272,276,4498,4.990E8,1.999E7,2.113E8,7.064E8,8.442E6,1.608E8,6.360E8,1.166E7,2.494E8,5.724E8,3.401E7,1.152E8,8.349E8,3.447E7,2.694E8,1612.67 ,57.71,188,462,176.10 ,22.72,52,61,1356.78 ,58.98,178,383,923.30 ,51.71,161,266,72.82 ,12.21,18,26,934.38 ,50.29,148,272,2231.91 ,70.44,235,638,118.65 ,16.18,32,39,1303.31 ,58.20,184,376,2237.74 ,69.49,227,628,214.58 ,26.60,55,67,763.73 ,44.84,128,218,2298.61 ,68.27,225,644,264.31 ,23.17,53,80,1183.46 ,55.76,163,338,5890,628.7,6.15
P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]",76.84,1,28,42,1613,3.789E8,2.234E8,7.966E7,1.218E9,7.255E8,1.535E9,2.808E8,2.300E8,2.133E8,1.540E8,3.796E8,3.324E8,3.821E8,1.641E8,3.152E8,336.71 ,55.87,29,86,399.64 ,55.71,33,98,330.23 ,50.23,25,81,452.02 ,64.48,35,118,860.47 ,66.51,38,217,529.10 ,59.94,36,138,351.25 ,55.87,33,90,343.02 ,52.58,31,87,428.40 ,55.09,29,110,372.34 ,52.43,29,98,319.22 ,62.44,32,78,471.01 ,55.40,32,120,382.04 ,54.30,30,93,416.45 ,60.72,33,106,375.11 ,56.96,33,93,639,65.4,8.00
P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2 - [RS3_HUMAN],76.54,1,17,17,365,1.968E7,3.097E7,5.551E7,3.574E7,2.377E7,3.726E7,3.740E7,3.263E7,3.972E7,4.495E7,6.736E7,6.439E7,4.238E7,4.133E7,3.969E7,40.54 ,38.68,8,11,62.06 ,48.15,10,17,152.33 ,61.73,14,43,22.14 ,22.63,5,6,76.36 ,50.62,11,22,68.94 ,45.68,10,19,74.87 ,50.62,11,22,78.38 ,62.55,13,22,96.85 ,51.03,11,27,103.54 ,50.21,11,29,112.52 ,57.61,13,35,134.00 ,66.26,14,37,82.98 ,48.15,11,24,96.56 ,54.32,12,27,81.05 ,66.26,14,24,243,26.7,9.66
P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]",74.53,2,26,36,672,4.948E7,5.573E7,5.032E7,1.403E8,1.214E8,1.462E8,4.216E7,4.978E7,3.370E7,3.541E7,1.073E8,7.941E7,7.723E7,8.893E7,3.981E7,78.17 ,30.43,16,26,136.85 ,47.20,26,40,97.77 ,44.31,21,30,112.81 ,28.36,18,38,155.00 ,42.65,23,47,150.25 ,33.13,21,52,156.65 ,50.10,28,48,178.84 ,50.10,27,53,94.43 ,40.79,21,30,191.41 ,51.14,27,56,211.34 ,70.60,30,55,117.98 ,43.27,23,37,131.60 ,34.78,20,42,329.32 ,53.42,29,93,72.69 ,31.88,18,25,483,53.7,5.59
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2 - [LDHA_HUMAN],74.40,4,23,26,754,1.643E8,1.221E8,1.871E8,4.215E8,5.100E7,1.876E8,3.388E8,1.020E8,1.519E8,2.955E8,4.070E8,2.366E8,2.803E8,1.075E8,1.693E8,123.54 ,42.17,11,36,190.62 ,51.51,17,56,256.00 ,57.23,16,73,84.33 ,45.78,13,24,133.77 ,40.66,12,37,124.28 ,54.52,14,33,221.29 ,58.43,18,62,148.72 ,54.52,15,42,177.59 ,54.52,15,51,246.64 ,63.55,20,72,221.09 ,59.94,19,68,220.69 ,53.61,17,66,160.18 ,42.17,13,47,187.88 ,48.49,13,55,115.14 ,48.49,13,32,332,36.7,8.27
P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]",74.16,1,34,35,1669,3.668E8,1.447E8,1.050E8,7.797E8,3.266E8,2.063E9,2.906E8,1.608E8,2.012E8,1.698E8,1.788E8,2.520E8,2.638E8,1.972E8,2.636E8,415.33 ,58.11,25,95,323.15 ,47.19,21,76,284.70 ,56.02,19,68,338.39 ,56.98,25,85,726.01 ,54.41,27,176,1043.99 ,63.56,34,244,583.19 ,73.19,32,137,384.74 ,61.32,23,87,539.00 ,65.17,23,129,484.49 ,65.65,24,117,137.25 ,48.48,19,32,441.01 ,60.03,20,106,375.18 ,52.97,24,85,593.50 ,50.88,21,140,402.59 ,52.33,23,92,623,62.0,5.24
P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2 - [TBB5_HUMAN],72.75,3,4,23,1137,6.565E7,8.731E7,1.814E8,9.797E7,6.359E7,1.472E8,9.047E7,9.717E7,1.073E8,1.136E8,3.729E8,1.762E8,9.933E7,1.323E8,1.207E8,148.85 ,48.87,15,42,432.21 ,72.52,22,120,390.77 ,63.29,20,101,88.36 ,34.46,12,27,238.34 ,43.69,15,68,212.92 ,54.05,17,58,235.47 ,57.66,17,60,257.79 ,54.05,17,67,301.43 ,54.05,17,84,267.25 ,54.05,17,70,449.65 ,72.75,23,117,353.89 ,57.21,18,95,220.52 ,54.95,17,60,366.94 ,57.43,19,98,262.78 ,63.29,19,70,444,49.6,4.89
P22392,Nucleoside diphosphate kinase B OS=Homo sapiens OX=9606 GN=NME2 PE=1 SV=1 - [NDKB_HUMAN],71.71,2,5,9,57,0.000E0,1.759E7,1.960E6,1.199E7,0.000E0,2.008E7,2.020E7,1.611E7,0.000E0,1.775E7,9.668E7,5.984E6,0.000E0,1.423E7,1.673E7,,,,,16.90 ,57.89,7,7,7.01 ,23.68,2,2,3.42 ,5.92,1,1,,,,,18.63 ,23.68,2,4,5.40 ,11.18,1,2,7.77 ,16.45,2,3,,,,,2.79 ,11.18,1,1,72.81 ,61.84,8,28,8.83 ,17.76,2,3,,,,,7.48 ,16.45,2,3,12.38 ,29.61,3,3,152,17.3,8.41
P07737,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2 - [PROF1_HUMAN],71.43,1,9,9,215,3.717E7,6.578E7,1.072E8,3.388E7,6.561E7,8.903E7,8.212E7,8.147E7,1.063E8,1.009E8,2.141E8,1.777E8,1.023E8,1.167E8,9.405E7,15.62 ,28.57,3,4,109.78 ,61.43,8,28,92.35 ,69.29,8,25,6.18 ,15.71,2,2,46.63 ,46.43,5,12,47.59 ,47.14,5,12,47.42 ,40.00,4,11,44.90 ,53.57,6,12,47.58 ,40.00,4,11,55.48 ,52.14,6,15,80.29 ,59.29,7,24,63.45 ,47.14,5,16,50.17 ,40.00,4,12,70.76 ,47.14,5,18,47.50 ,53.57,6,13,140,15.0,8.27
