Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
,,,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2 - [AHNK_HUMAN],79.49,2,316,318,5149,6.578E7,1.899E9,8.051E9,1.313E8,4.871E8,6.348E9,5.890E7,2.056E9,1.121E10,4.508E8,1.417E9,9.320E9,2.187E8,2.577E9,9.849E8,103.69 ,12.09,25,45,267.12 ,24.82,61,96,3296.98 ,72.58,264,1146,87.53 ,12.26,27,30,121.67 ,19.51,32,46,485.31 ,41.39,118,222,84.02 ,9.49,21,24,332.03 ,27.66,82,124,3496.59 ,72.53,271,1284,88.08 ,11.99,24,34,347.88 ,29.69,83,118,3131.97 ,70.41,261,1254,153.98 ,14.70,35,56,1628.39 ,72.33,252,568,259.46 ,28.71,63,102,5890,628.7,6.15
P11498,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2 - [PYC_HUMAN]",74.11,1,64,64,1276,2.574E8,1.607E9,8.970E8,1.050E9,5.742E8,5.912E8,6.048E8,1.482E9,9.551E8,3.336E9,1.650E9,9.430E8,1.706E9,2.733E9,1.591E8,128.04 ,17.32,16,45,165.42 ,39.22,34,61,393.14 ,40.83,38,141,111.81 ,24.87,20,33,104.41 ,19.19,18,41,94.64 ,27.16,22,37,119.68 ,18.85,14,43,220.81 ,37.78,33,82,449.61 ,44.74,42,171,112.09 ,19.19,17,29,169.96 ,40.66,35,61,338.59 ,39.90,39,134,204.48 ,30.73,28,68,966.67 ,63.75,53,310,46.64 ,14.09,12,20,1178,129.6,6.84
P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2 - [BASP1_HUMAN],73.13,1,16,16,289,0.000E0,0.000E0,2.508E8,6.122E6,1.682E6,1.474E8,0.000E0,6.092E6,3.277E8,6.882E6,3.855E6,3.699E8,4.155E6,1.153E7,1.868E7,,,,,,,,,152.61 ,66.52,11,54,4.11 ,5.73,1,1,2.40 ,5.73,1,1,34.64 ,50.66,8,12,,,,,4.70 ,12.33,2,2,209.57 ,72.69,14,85,3.60 ,5.73,1,1,2.27 ,15.42,2,2,255.48 ,72.69,12,122,9.18 ,18.06,3,3,6.88 ,32.16,4,4,5.99 ,5.73,1,2,227,22.7,4.63
P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]",69.17,2,24,33,244,1.057E7,1.161E8,3.116E8,8.164E7,1.039E8,5.037E7,4.213E7,1.409E8,2.384E8,1.711E8,1.130E8,2.111E8,1.460E8,5.049E8,1.931E6,3.23 ,2.35,1,1,24.90 ,13.77,8,8,167.35 ,39.91,21,56,27.23 ,17.37,8,9,23.90 ,15.18,6,8,9.71 ,7.36,3,4,10.67 ,9.08,3,4,43.83 ,25.35,13,14,115.27 ,29.89,16,37,45.01 ,26.60,13,15,47.54 ,23.94,12,14,96.92 ,28.01,15,30,59.49 ,23.00,12,17,84.36 ,47.89,22,26,2.23 ,2.35,1,1,639,65.4,8.00
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCA PE=1 SV=4 - [PCCA_HUMAN]",63.32,1,40,40,309,8.114E7,2.234E8,1.245E8,2.855E8,1.069E8,2.168E7,7.850E7,2.184E8,1.163E8,6.471E8,2.753E8,1.051E8,4.828E8,5.025E8,0.000E0,38.08 ,14.56,9,11,37.31 ,11.68,7,11,126.93 ,25.82,15,40,65.74 ,24.18,12,16,17.88 ,9.07,5,6,4.09 ,4.95,3,3,25.55 ,12.09,6,7,48.07 ,19.78,12,14,119.43 ,25.55,14,41,59.33 ,21.57,10,14,49.26 ,17.45,10,14,100.07 ,20.88,12,31,72.68 ,24.59,14,21,243.45 ,58.65,35,80,,,,,728,80.0,7.52
Q96RQ3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3 - [MCCA_HUMAN]",61.38,1,31,31,317,1.879E8,1.401E8,2.602E8,2.930E8,8.091E7,5.111E7,9.727E7,1.769E8,2.863E8,7.770E8,3.089E8,1.756E8,8.608E8,5.370E8,1.334E7,43.34 ,13.10,6,11,27.51 ,11.03,6,9,115.83 ,23.59,12,29,64.74 ,18.07,9,13,64.85 ,21.79,10,18,11.34 ,15.86,7,8,30.30 ,11.17,4,7,55.74 ,30.62,14,23,108.13 ,30.76,14,30,74.47 ,27.86,11,15,58.55 ,25.10,11,17,65.37 ,22.07,11,18,68.24 ,25.93,12,17,358.86 ,54.48,27,98,5.08 ,9.24,4,4,725,80.4,7.78
O76070,Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=2 - [SYUG_HUMAN],60.63,1,5,5,19,0.000E0,2.534E7,1.676E7,0.000E0,0.000E0,3.191E6,0.000E0,1.716E7,1.468E7,0.000E0,1.507E7,3.015E7,0.000E0,2.105E7,0.000E0,,,,,4.75 ,11.02,1,1,6.98 ,11.02,1,2,,,,,,,,,2.82 ,11.02,1,1,,,,,6.80 ,11.02,1,2,12.17 ,30.71,3,4,,,,,6.69 ,11.02,1,2,14.86 ,53.54,4,4,,,,,7.31 ,36.22,3,3,,,,,127,13.3,4.86
P37802,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3 - [TAGL2_HUMAN],58.79,2,9,9,45,0.000E0,1.606E7,3.205E7,0.000E0,0.000E0,1.389E6,0.000E0,1.558E7,4.936E7,0.000E0,0.000E0,7.329E7,0.000E0,6.699E7,0.000E0,,,,,2.64 ,4.02,1,1,31.85 ,49.25,7,13,,,,,,,,,1.79 ,4.02,1,1,,,,,2.70 ,4.02,1,1,27.45 ,31.66,5,9,,,,,,,,,24.60 ,30.15,5,10,,,,,26.67 ,53.27,8,10,,,,,199,22.4,8.25
P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2 - [RS27A_HUMAN],58.33,4,8,8,81,0.000E0,1.110E8,3.256E8,0.000E0,0.000E0,1.032E8,0.000E0,1.296E8,3.764E8,5.399E7,2.026E8,3.088E8,0.000E0,3.679E8,0.000E0,,,,,2.52 ,14.10,2,2,33.79 ,36.54,5,15,2.55 ,10.26,1,1,,,,,6.88 ,21.79,3,4,,,,,8.98 ,11.54,2,5,35.74 ,32.69,5,18,2.22 ,10.26,1,1,10.33 ,21.79,3,6,25.72 ,24.36,4,11,,,,,42.00 ,58.33,8,18,,,,,156,18.0,9.64
